GeneName,FoldChange,Pvalue,Padj
kelch like family member 10,-2.443044744,0.000278056,0.000803244
speedy/RINGO cell cycle regulator family member E2,1.273928313,0.000278321,0.000803903
TUB like protein 3,1.073645264,0.000278371,0.000803939
SHC adaptor protein 4,-2.022441382,0.000279106,0.000805956
proline rich basic protein 1,-1.445063119,0.000281834,0.000813727
down-regulator of transcription 1,0.657442677,0.000282386,0.00081514
microRNA 124-2,2.308068029,0.000282399,0.00081514
NADH:ubiquinone oxidoreductase subunit B1,-0.784889585,0.000282499,0.00081532
lipoprotein(a),-2.390297667,0.000283091,0.000816922
glutathione peroxidase 3,-1.235922182,0.000283156,0.000816999
NA,2.334780083,0.00028331,0.000817334
brain derived neurotrophic factor,-3.529978309,0.000283454,0.000817643
"NSE3 homolog, SMC5-SMC6 complex component",-0.760624645,0.000283576,0.000817885
NA,1.554721515,0.000283822,0.000818487
TNF receptor superfamily member 21,-0.758074049,0.000284091,0.00081907
SMAD family member 7,-0.831290411,0.000284099,0.00081907
V-set and transmembrane domain containing 2B,-1.752598732,0.000284505,0.000820129
lemur tyrosine kinase 2,-1.333295373,0.000285062,0.000821628
zinc finger CCHC-type containing 10,0.931711013,0.000285152,0.000821778
zinc finger protein 10,0.970749662,0.000285269,0.000822006
catsper channel auxiliary subunit zeta,-1.326934957,0.000286488,0.00082541
TMF1 regulated nuclear protein 1,-1.809225548,0.00028661,0.00082565
atypical chemokine receptor 2,-2.314810702,0.000287159,0.000827123
NA,1.74852032,0.000287239,0.000827244
RBMX like 1,0.866462004,0.000287308,0.000827287
D-dopachrome tautomerase,-1.16478358,0.00028733,0.000827287
TOLLIP antisense RNA 1 (head to head),-1.086339823,0.000287473,0.000827587
magnesium dependent phosphatase 1,-0.655221986,0.000287606,0.000827863
"aph-1 homolog A, gamma-secretase subunit",0.772703416,0.000288406,0.000830056
POU class 5 homeobox 1B,2.800385523,0.000288976,0.000831585
beta 3-glucosyltransferase,-1.600981415,0.000289346,0.00083254
thiosulfate sulfurtransferase,-1.492310866,0.000289503,0.000832882
3-hydroxy-3-methylglutaryl-CoA synthase 1,0.833651283,0.000289559,0.000832933
septin 5,-1.0426343,0.000289834,0.000833613
plastin 1,-1.387046577,0.000290313,0.000834882
coiled-coil domain containing 82,0.946409746,0.000290812,0.000836204
GCN1 activator of EIF2AK4,0.947358495,0.000291682,0.000838595
phosphodiesterase 3B,0.867341406,0.000291959,0.00083928
mitogen-activated protein kinase 15,1.5456976,0.000292455,0.000840595
"alcohol dehydrogenase 1B (class I), beta polypeptide",-2.147183688,0.000293251,0.000842773
chromosome 19 open reading frame 81,-1.57198587,0.000293619,0.000843634
ubiquinol-cytochrome c reductase hinge protein,-0.69757193,0.000293629,0.000843634
NA,-2.718721887,0.000294028,0.000844671
AXL receptor tyrosine kinase,-1.349931898,0.000294786,0.000846736
ficolin 1,-3.979469599,0.000295256,0.000847974
centrosomal protein 43,0.892162413,0.000295395,0.00084826
ubiquitin conjugating enzyme E2 J1,0.801409304,0.000295469,0.00084836
long intergenic non-protein coding RNA 900,-1.217223085,0.00029639,0.000850894
proteasome assembly chaperone 3,-0.845194721,0.000297039,0.000852644
calcitonin related polypeptide beta,-3.775438746,0.000297849,0.000854856
long intergenic non-protein coding RNA 1270,-2.854437958,0.00029813,0.000855551
"SEC31 homolog A, COPII coat complex component",0.616848408,0.000298692,0.00085705
NA,-2.231712104,0.000299471,0.000859172
YY1 transcription factor,0.59242636,0.000300466,0.000861913
cytochrome c oxidase assembly factor 3,-0.856582626,0.000300737,0.000862575
transmembrane protein 74,1.455724735,0.000300789,0.00086261
AT-hook containing transcription factor 1,0.76378493,0.000301223,0.000863742
HNF1 homeobox A,-0.989384075,0.000301419,0.00086419
transmembrane protein 88,1.03935506,0.000301486,0.000864267
kielin cysteine rich BMP regulator,1.674633987,0.000301538,0.000864304
CUB and Sushi multiple domains 2,1.499583827,0.0003023,0.00086631
pre-mRNA processing factor 6,0.766884204,0.000302318,0.00086631
ankyrin repeat and kinase domain containing 1,-2.41680909,0.000302767,0.000867481
cadherin 3,1.439405344,0.000302953,0.0008679
interleukin 20 receptor subunit beta,1.711985946,0.000304287,0.000871608
amyloid beta precursor protein binding family A member 2,-0.875732205,0.000305104,0.000873832
EPM2A interacting protein 1,0.817213544,0.000305146,0.000873839
long intergenic non-protein coding RNA 683,-2.296782638,0.000306363,0.000877152
CUB and zona pellucida like domains 1,1.367612291,0.000306384,0.000877152
ATP binding cassette subfamily C member 6 pseudogene 1,-2.639883269,0.000306998,0.000878794
eukaryotic translation initiation factor 3 subunit A,0.807356426,0.000307509,0.00088014
ELMO domain containing 2,1.422656475,0.000307646,0.000880417
NA,2.88665855,0.000307839,0.000880853
DEP domain containing MTOR interacting protein,-1.497968865,0.000308957,0.000883938
zinc finger protein 493,1.442772523,0.000309632,0.000885752
Wnt family member 4,2.078156998,0.000310284,0.0008875
cysteine dioxygenase type 1,0.723213642,0.000311013,0.000889466
adenosine deaminase,-1.670778103,0.00031137,0.000890373
cytoskeleton regulator RNA,-1.960671688,0.000311464,0.000890523
uncharacterized LOC441374,-3.205436932,0.000311721,0.000891141
transmembrane protein 220,0.956906933,0.000311854,0.000891405
zinc finger protein 805,0.968458612,0.000312413,0.000892885
transmembrane protein 216,0.77437177,0.000312863,0.000894054
vesicle associated membrane protein 8,-1.512245419,0.000312947,0.000894176
phosphatidylinositol transfer protein membrane associated 1,-1.258039969,0.000312999,0.000894206
cullin associated and neddylation dissociated 1,0.802088961,0.000313058,0.000894258
H2B clustered histone 14,5.05418849,0.000314923,0.000899467
cytochrome P450 family 27 subfamily B member 1,1.38127096,0.000315079,0.000899793
CD81 molecule,-0.940453008,0.000315225,0.000900093
cilia and flagella associated protein 52,-2.691235633,0.000315645,0.000901174
CCM2 like scaffold protein,-0.656071206,0.000315741,0.00090133
ankyrin repeat domain 53,1.778354913,0.000316205,0.000902537
proline and serine rich coiled-coil 1,-1.215889545,0.000318136,0.000907835
long intergenic non-protein coding RNA 1018,-1.399742271,0.000318145,0.000907835
PC4 and SFRS1 interacting protein 1,0.831063606,0.000319172,0.000910647
"ABL proto-oncogene 2, non-receptor tyrosine kinase",0.841590271,0.000319262,0.000910782
small nuclear ribonucleoprotein U11/U12 subunit 48,0.786266313,0.000319348,0.000910846
NK2 homeobox 8,-5.458652277,0.000319368,0.000910846
CDV3 homolog,0.809739232,0.000319934,0.000912342
"ribosomal RNA processing 7 homolog B, pseudogene",0.914323917,0.000320418,0.000913601
regulator of G protein signaling 21,4.654377572,0.000320517,0.000913764
small proline rich protein 2D,4.595500619,0.000320647,0.000914013
egl-9 family hypoxia inducible factor 3,-1.80079648,0.000320776,0.000914261
NA,0.832675821,0.000320831,0.000914298
uncharacterized LOC100506476,-2.538222617,0.000320996,0.00091465
TBC1 domain family member 10C,-1.667736957,0.000321326,0.000915471
MAGE family member C3,-1.367712589,0.000321463,0.00091574
small nuclear ribonucleoprotein D1 polypeptide,0.90822614,0.000322631,0.000918947
paraoxonase 2,-1.369652655,0.000323259,0.000920614
WD repeat domain 77,0.716341925,0.000323534,0.000921277
potassium two pore domain channel subfamily K member 15,-3.453616089,0.000324444,0.000923749
GUSB pseudogene 3,4.00843868,0.000325158,0.000925659
solute carrier family 2 member 12,-1.032911193,0.000325722,0.000927143
malignant fibrous histiocytoma amplified sequence 1,1.258630243,0.000326635,0.00092962
prostaglandin E synthase,-1.574567129,0.000326683,0.000929635
ganglioside induced differentiation associated protein 1 like 1,1.069779459,0.000327934,0.000933075
HAUS augmin like complex subunit 4,1.101347571,0.000329197,0.000936545
"presenilin enhancer, gamma-secretase subunit",-0.856391204,0.000329489,0.000937254
inositol polyphosphate-5-phosphatase D,-0.90173609,0.00033191,0.000944017
RAD1 checkpoint DNA exonuclease,0.820775478,0.000331991,0.000944121
ADAM metallopeptidase domain 21,-1.664334111,0.000332703,0.000946023
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",-1.038671433,0.000332851,0.000946251
cytochrome P450 family 2 subfamily R member 1,1.243200509,0.00033287,0.000946251
suppressor of IKBKE 1,0.693230758,0.000333169,0.000946976
glutamyl-prolyl-tRNA synthetase 1,0.721997763,0.000333913,0.000948967
Cas scaffold protein family member 4,-1.77329027,0.000335027,0.000952008
trinucleotide repeat containing adaptor 6A,0.755408657,0.000335072,0.000952013
ZNF213 antisense RNA 1 (head to head),0.711860814,0.000335682,0.000953603
tumor associated calcium signal transducer 2,-4.254032317,0.000335719,0.000953603
NA,1.04297028,0.000335831,0.000953794
calmodulin regulated spectrin associated protein family member 3,1.171081672,0.000336684,0.000956094
transmembrane protein 132E,-2.341871935,0.000338105,0.000960003
zinc finger protein 81,1.057051861,0.000338444,0.00096084
DnaJ heat shock protein family (Hsp40) member B9,-1.064037641,0.000338663,0.000961336
glucosylceramidase beta pseudogene 1,-0.833368689,0.000338708,0.000961338
cytochrome c oxidase subunit 7A2 like,-0.85847221,0.000339222,0.000962642
ceramide transporter 1,-0.828104207,0.000339256,0.000962642
mediator complex subunit 31,-1.084268579,0.000339886,0.000964305
plasminogen like B1,1.628915283,0.000340149,0.000964925
MT-RNR2 like 4,2.164496388,0.000340419,0.000965566
ATP synthase membrane subunit e,-1.103532032,0.000340828,0.000966598
centrosomal protein 290,0.992857638,0.000341123,0.000967111
syntaxin 4,-0.719485817,0.000341126,0.000967111
major facilitator superfamily domain containing 4B,1.03189357,0.000341142,0.000967111
GNAS complex locus,-0.76582034,0.000341214,0.000967188
phosphoribosyl pyrophosphate amidotransferase,0.897659805,0.000341564,0.000968053
KCNIP4 intronic transcript 1,-2.827581894,0.00034299,0.00097197
NA,-4.498300297,0.000343105,0.000972168
NADH:ubiquinone oxidoreductase subunit B6,-0.967730451,0.000343923,0.000974358
CDRT15 pseudogene 1,2.010821813,0.000345126,0.00097764
ATPase H+ transporting V0 subunit b,-1.1830072,0.000346623,0.000981753
major facilitator superfamily domain containing 10,0.978908551,0.000346755,0.000981997
"NSE4 homolog A, SMC5-SMC6 complex component",1.244389642,0.00034731,0.000983442
major facilitator superfamily domain containing 5,-0.763596035,0.000348169,0.000985744
mannosidase alpha class 1A member 1,-1.652982207,0.000348243,0.000985828
transmembrane protein 219,-0.903606813,0.000350559,0.000992255
ankyrin repeat and fibronectin type III domain containing 1,1.770367063,0.000350765,0.000992582
cleavage factor polyribonucleotide kinase subunit 1,0.686947058,0.000350766,0.000992582
neurobeachin,1.206417429,0.000351127,0.000993472
ectonucleoside triphosphate diphosphohydrolase 1,0.785875286,0.000351769,0.000995162
leucine rich repeat containing 8 VRAC subunit A,-0.969648447,0.000352263,0.000996429
chromosome 8 open reading frame 88,1.335909742,0.000352758,0.000997698
chloride voltage-gated channel 1,2.01070832,0.000352909,0.000997996
neurobeachin pseudogene 1,-2.553953193,0.000353056,0.000998231
mediator complex subunit 30,0.988057801,0.000353084,0.000998231
calcium voltage-gated channel subunit alpha1 E,1.510439284,0.000354101,0.001000976
immunity related GTPase Q,0.71297104,0.000358326,0.001012789
"cysteinyl-tRNA synthetase 2, mitochondrial",0.531399882,0.000358936,0.001014381
shieldin complex subunit 2,0.918398302,0.000359249,0.001015132
family with sequence similarity 13 member A,0.903697169,0.00035989,0.001016811
phosphatidylinositol transfer protein membrane associated 2,-1.51040347,0.000360362,0.001018013
collagen type VI alpha 2 chain,1.102719845,0.000360647,0.001018652
EXOC3 antisense RNA 1,-0.733399427,0.000360682,0.001018652
growth arrest specific 2,-1.134628992,0.000360802,0.001018858
FAM222A antisense RNA 1,-2.166515671,0.000361396,0.001020405
TP53 target 1,-1.006235152,0.000361604,0.00102086
selenoprotein N,0.783955262,0.000363425,0.001025811
long intergenic non-protein coding RNA 1252,-1.346372015,0.000363453,0.001025811
LDL receptor related protein 10,-1.23193041,0.000363505,0.001025826
DLG associated protein 1,-1.692596162,0.000364119,0.001027426
"POP7 homolog, ribonuclease P/MRP subunit",-0.812032101,0.000364172,0.001027441
solute carrier family 25 member 19,-1.186811967,0.000364491,0.001028208
ribosomal protein S20,1.126188331,0.000364625,0.001028453
bradykinin receptor B2,-1.971210326,0.00036484,0.001028887
"1,4-alpha-glucan branching enzyme 1",-1.010267505,0.000364874,0.001028887
NOP16 nucleolar protein,0.568227292,0.000364972,0.00102903
adherens junctions associated protein 1,-2.254930312,0.000365189,0.001029509
F-box and WD repeat domain containing 11,-0.656459486,0.000366124,0.00103201
RCSD domain containing 1,-0.959100924,0.000366495,0.001032923
cadherin 9,-3.416908122,0.000366796,0.001033636
glutathione S-transferase mu 3,-0.997274284,0.000367197,0.0010345
V-set and transmembrane domain containing 1,-4.795299984,0.000367197,0.0010345
"ARV1 homolog, fatty acid homeostasis modulator",-0.94833445,0.000368528,0.001038115
protein tyrosine phosphatase non-receptor type 5,-1.143284745,0.000368719,0.001038518
dishevelled segment polarity protein 1,-1.139531435,0.000369117,0.001039505
"pregnancy specific beta-1-glycoprotein 10, pseudogene",-4.984949794,0.000369482,0.001040398
basic helix-loop-helix family member a9,-3.133619291,0.000369596,0.001040501
splA/ryanodine receptor domain and SOCS box containing 1,-1.324609469,0.000369615,0.001040501
CCR4-NOT transcription complex subunit 9,0.670687697,0.000370076,0.001041666
poly(ADP-ribose) glycohydrolase pseudogene 1,2.062759752,0.000370659,0.00104317
"spectrin beta, non-erythrocytic 1",-0.980846422,0.000371119,0.00104433
glyoxalase I,-0.941593261,0.000372024,0.001046742
chromosome 6 open reading frame 120,-0.701640028,0.000372464,0.001047845
acyl-CoA dehydrogenase long chain,1.384619514,0.000373016,0.001049262
Rho GDP dissociation inhibitor alpha,-0.862366552,0.000373675,0.001050979
LYR motif containing 4,-0.734718474,0.00037494,0.001054402
"GTPase, IMAP family member 7",-1.961891225,0.000375214,0.001055035
pleckstrin homology domain containing O1,1.082626634,0.000375319,0.001055193
F-box and WD repeat domain containing 2,0.800490151,0.000375671,0.001056046
dermatan sulfate epimerase,0.664599806,0.000376311,0.001057709
DnaJ heat shock protein family (Hsp40) member C21,-0.754617455,0.000376721,0.001058725
zinc finger protein 791,0.95273938,0.000377667,0.001061246
INO80 complex subunit D,0.772331598,0.000377996,0.001062032
DNA polymerase delta interacting protein 3,0.670351896,0.000378567,0.0010635
proteasomal ATPase associated factor 1,-1.012585161,0.000378885,0.001064256
uncharacterized LOC85009,-3.042343288,0.000379221,0.001065063
interferon regulatory factor 7,0.989564335,0.000379775,0.00106648
WD repeat domain 89,0.7861743,0.000380691,0.001068914
aminocarboxymuconate semialdehyde decarboxylase,2.710756886,0.000381216,0.00107025
"phosphofructokinase, liver type",-0.799643482,0.000381658,0.001071352
phytanoyl-CoA dioxygenase domain containing 1,-1.83594579,0.000381973,0.001072099
mitogen-activated protein kinase 1 interacting protein 1 like,0.610822605,0.00038221,0.001072624
flavin adenine dinucleotide synthetase 1,0.594201153,0.00038261,0.001073608
TMCO1 antisense RNA 1,1.407084721,0.000383228,0.001075203
long intergenic non-protein coding RNA 1346,-4.451444105,0.000383416,0.001075594
tudor domain containing 9,-1.259620881,0.000383908,0.001076835
OTU deubiquitinase with linear linkage specificity like,1.41158583,0.000385161,0.001080085
FXYD domain containing ion transport regulator 3,-2.645365012,0.000385166,0.001080085
USH1 protein network component harmonin,-2.45659223,0.000386666,0.001084151
peptidylprolyl isomerase like 4,0.796920235,0.000386783,0.00108434
zinc finger protein 277,0.838452528,0.000387454,0.001086079
"renalase, FAD dependent amine oxidase",-0.862491287,0.000387573,0.001086274
"small nucleolar RNA, C/D box 69",2.17893877,0.000388152,0.001087755
ABI family member 3 binding protein,1.629841643,0.000388306,0.001088049
DnaJ heat shock protein family (Hsp40) member C19,-0.803695816,0.000388764,0.001089075
retinoic acid early transcript 1K pseudogene,5.938622143,0.000388773,0.001089075
NA,-1.985847803,0.000390378,0.00109343
arylsulfatase B,0.963448912,0.000390809,0.001094496
glycogen synthase kinase 3 alpha,-0.839692216,0.000391064,0.001095069
zinc finger protein 496,1.077512946,0.000391119,0.001095084
XK related 8,0.91730701,0.000391635,0.001096385
protein phosphatase 4 regulatory subunit 1 like (pseudogene),1.485656544,0.000392127,0.001097623
actin related protein 2/3 complex inhibitor,0.799475713,0.000393252,0.001100629
COP9 signalosome subunit 6,-0.671369868,0.00039369,0.001101713
Tctex1 domain containing 1,-2.160483838,0.000393861,0.00110205
ADAM metallopeptidase domain 29,-3.558102763,0.000394345,0.001103264
methionine sulfoxide reductase A,0.956619361,0.000394485,0.001103495
IMP U3 small nucleolar ribonucleoprotein 4,-0.9330023,0.000394529,0.001103495
potassium channel tetramerization domain containing 21,-0.860803774,0.000394616,0.001103595
AT-rich interaction domain 1B,0.964227489,0.000394854,0.001104026
AHNAK nucleoprotein 2,-1.149913559,0.000394872,0.001104026
ATPase H+ transporting V1 subunit E2,-1.148062333,0.000395034,0.001104337
PPARG related coactivator 1,0.805991695,0.000397405,0.001110823
NA,-1.88420322,0.000397558,0.001111107
zinc finger and BTB domain containing 25,0.969443976,0.000398063,0.001112378
RAB11 family interacting protein 1,-1.141388852,0.000398326,0.001112894
immunoglobulin superfamily containing leucine rich repeat,-1.36694851,0.000398351,0.001112894
potassium voltage-gated channel subfamily A member 4,-1.465605524,0.000399279,0.001115345
epsin 1,-1.092346462,0.000399487,0.001115781
forkhead box D4 like 3,-2.482026385,0.000400297,0.001117901
HIRA interacting protein 3,0.937878985,0.000400607,0.001118623
zinc finger CW-type and PWWP domain containing 2,-1.200878069,0.000402127,0.00112266
seryl-tRNA synthetase 1,-0.703403697,0.000402156,0.00112266
POU class 2 homeobox associating factor 1,-2.991687857,0.000403292,0.001125687
DLC1 Rho GTPase activating protein,-1.198224259,0.000404279,0.001128297
Jupiter microtubule associated homolog 2,1.750567917,0.000404461,0.001128659
pro-apoptotic WT1 regulator,1.300777123,0.000406222,0.001133428
roundabout guidance receptor 3,-0.875204313,0.000409152,0.001141456
fetal and adult testis expressed 1,-3.681689092,0.000409238,0.00114155
chromosome 7 open reading frame 50,-1.042728873,0.000410472,0.001144845
"small nucleolar RNA, H/ACA box 2A",2.286331769,0.000410929,0.001145974
gem nuclear organelle associated protein 8 pseudogene 4,-1.088179871,0.000411674,0.001147904
uncharacterized LOC154449,-5.3676371,0.000412042,0.001148783
family with sequence similarity 122B,-0.671557783,0.000413951,0.001153956
docking protein 7,-2.240283802,0.000414045,0.001154072
COPI coat complex subunit beta 1,0.969173671,0.000414563,0.001155367
ribosomal protein L28,0.968758,0.000415072,0.001156638
eukaryotic translation initiation factor 4A2,-0.752887334,0.000416061,0.001159244
calpain 9,-2.126760214,0.000417119,0.001162044
small Cajal body-specific RNA 21,2.766874158,0.000417227,0.001162194
"small nucleolar RNA, C/D box 2",2.320230685,0.000417317,0.001162298
"jumonji domain containing 6, arginine demethylase and lysine hydroxylase",0.945985175,0.000418594,0.001165497
zinc finger CCCH-type containing 8,0.864582395,0.000418615,0.001165497
zinc finger protein 257,1.856419765,0.000418627,0.001165497
ankyrin repeat domain 36B pseudogene 1,1.954263347,0.000418915,0.001166149
clathrin light chain A,-0.561427638,0.000419178,0.001166733
protein kinase cGMP-dependent 2,1.296882854,0.000420064,0.001169049
tetraspanin 3,-0.570747424,0.000420225,0.001169347
lymphocyte antigen 96,-2.083724415,0.000420783,0.001170751
EF-hand domain containing 1,0.770004462,0.000421593,0.001172854
ribosomal protein L38,1.071705399,0.00042184,0.001173391
SAC1 like phosphatidylinositide phosphatase,-0.643047209,0.000422141,0.001174077
solute carrier family 22 member 14,-1.808221257,0.000424507,0.001180507
zinc finger AN1-type containing 4,0.995314702,0.000424582,0.001180565
clathrin heavy chain,-0.816450986,0.000425533,0.001183059
keratin associated protein 3-2,5.796238908,0.00042633,0.001185033
NA,-1.71081937,0.000426352,0.001185033
mediator complex subunit 14,0.706938804,0.000427389,0.001187762
CCAAT enhancer binding protein gamma,0.686193628,0.00042832,0.001190197
"WD repeat domain, phosphoinositide interacting 2",-0.668178225,0.000428527,0.001190621
sirtuin 3,-0.734237187,0.000428687,0.001190914
DnaJ heat shock protein family (Hsp40) member C16,-0.736746384,0.000428924,0.00119142
defender against cell death 1,-0.929317562,0.000429013,0.001191515
NA,1.0984345,0.000429603,0.001192999
RAS like proto-oncogene A,0.777925619,0.000430041,0.001194064
protein kinase N3,1.530385667,0.000430527,0.00119526
EYA transcriptional coactivator and phosphatase 2,-1.837401603,0.000431072,0.00119662
"NCCRP1, F-box associated domain containing",3.839755077,0.00043173,0.001198296
chromosome 1 open reading frame 74,-0.994026286,0.000431801,0.001198339
angiopoietin like 3,2.874337264,0.000432801,0.00120096
mutL homolog 1,0.74421593,0.000433604,0.001202916
NA,3.492870208,0.000433616,0.001202916
BRCA1 associated protein 1,-0.826086111,0.000433941,0.001203664
LIM domain binding 1,1.016606048,0.000436497,0.001210599
G1 to S phase transition 1,0.652101744,0.000436652,0.001210874
kelch like family member 13,1.490148324,0.000437445,0.001212919
NA,-1.786841297,0.000439225,0.001217698
Cbl proto-oncogene,0.780624877,0.000439822,0.001219197
transcription elongation factor A like 1,-1.063818798,0.000440992,0.001222285
small integral membrane protein 27,-1.414360466,0.000441736,0.001224191
zinc finger protein 534,1.229411203,0.00044188,0.001224435
SAP domain containing ribonucleoprotein,0.94030435,0.000443,0.001227381
leucine rich repeat LGI family member 2,-1.922025909,0.000443414,0.001228371
F-box and WD repeat domain containing 5,-0.956415832,0.000443557,0.001228612
gamma-aminobutyric acid type A receptor subunit gamma1,-2.086049637,0.000444103,0.001229808
germ cell associated 1,-2.465187675,0.000444119,0.001229808
beaded filament structural protein 2,4.549026645,0.000444159,0.001229808
NA,-1.600324606,0.000445415,0.001233131
ribosomal protein S29,1.39567344,0.000446762,0.001236582
"discoidin, CUB and LCCL domain containing 1",-1.360157328,0.000446776,0.001236582
GATA zinc finger domain containing 2A,0.903957118,0.000447772,0.001239182
DNA meiotic recombinase 1,1.588592345,0.000448138,0.001240036
NA,3.279718831,0.000448231,0.001240135
golgi phosphoprotein 3 like,-0.586895889,0.000449526,0.00124356
sphingosine-1-phosphate receptor 4,-2.727938855,0.000451194,0.001248016
eukaryotic translation initiation factor 2A,0.854120187,0.000451604,0.001248992
ANKH inorganic pyrophosphate transport regulator,-1.289958492,0.000452415,0.001251076
nuclear receptor binding factor 2,-0.731527142,0.000454386,0.001256365
myosin VA,-1.012432082,0.000455643,0.00125968
protein phosphatase 2 regulatory subunit B'alpha,-0.959906469,0.000458474,0.001267348
trafficking protein particle complex 10,-0.707177122,0.000460045,0.001271527
sphingosine-1-phosphate receptor 1,-1.202981152,0.000462526,0.001278224
cold shock domain containing E1,0.545828186,0.000462692,0.001278518
C1D nuclear receptor corepressor,-1.01298995,0.000463123,0.001279548
anoctamin 10,-0.607573287,0.000463389,0.001280119
nuclear factor related to kappaB binding protein,0.827914526,0.000463576,0.001280474
polypyrimidine tract binding protein 3,0.98563873,0.000464019,0.001281415
cysteine and serine rich nuclear protein 3,1.203250862,0.000464035,0.001281415
long intergenic non-protein coding RNA 881,-4.483598543,0.000464975,0.001283849
"Ts translation elongation factor, mitochondrial",-0.609013017,0.000465539,0.001285243
zinc finger ZZ-type containing 3,0.83291818,0.000467293,0.001289921
cyclin dependent kinase 17,-0.823922344,0.000467685,0.001290838
scavenger receptor class B member 1,-0.65008544,0.000468908,0.001294049
"lipase E, hormone sensitive type",-1.466080909,0.000469265,0.001294872
arachidonate 5-lipoxygenase,-1.553082558,0.00046977,0.001296099
NADH:ubiquinone oxidoreductase core subunit S1,-0.639034162,0.000470821,0.001298696
"NPL4 homolog, ubiquitin recognition factor",-0.614379317,0.00047083,0.001298696
solute carrier family 19 member 2,0.777235074,0.000471936,0.001301581
nuclear receptor subfamily 2 group E member 1,1.323043067,0.000473512,0.001305761
polyamine modulated factor 1 binding protein 1,1.605216205,0.000474305,0.001307782
kinesin family member 2A,0.935017204,0.000475083,0.00130976
transmembrane protein 248,-0.527626026,0.000476993,0.00131486
zinc finger CCCH-type containing 12B,-0.865705917,0.000478285,0.001318255
MYC binding protein,0.810762292,0.000478789,0.001319476
DALR anticodon binding domain containing 3,0.83677256,0.00048015,0.001323061
transcription elongation factor A like 5,-0.786266179,0.000480645,0.001324256
male germ cell associated kinase,1.065689148,0.00048114,0.001325452
oxidoreductase like domain containing 1,-1.091288277,0.000481333,0.001325814
spermine oxidase,-1.079903019,0.000481634,0.001326476
baculoviral IAP repeat containing 2,0.706599021,0.000482613,0.001329003
actin filament associated protein 1 like 1,0.978475579,0.00048276,0.00132924
adhesion G protein-coupled receptor A3,1.0278691,0.000482878,0.001329398
PTGES2 antisense RNA 1 (head to head),-2.257959104,0.000483643,0.001331334
zinc finger protein 804B,-2.840655528,0.00048428,0.001332919
queuine tRNA-ribosyltransferase accessory subunit 2,0.70419216,0.000485019,0.001334784
autophagy related 10,-0.925809792,0.000485897,0.001337032
DDB1 and CUL4 associated factor 17,0.88964552,0.000486169,0.001337308
zinc finger protein 564,0.930837891,0.000486179,0.001337308
dystonin,-1.025826123,0.000486182,0.001337308
solute carrier family 30 member 7,1.104119955,0.000486527,0.001338088
TMEM147 antisense RNA 1,0.756210042,0.000487287,0.001340009
serine peptidase inhibitor Kazal type 13,2.436627264,0.000487842,0.001341366
dynein cytoplasmic 1 intermediate chain 2,1.044032304,0.000488276,0.00134239
general transcription factor IIE subunit 2,0.822306067,0.000489376,0.001345118
CUGBP Elav-like family member 3,1.109928366,0.000489393,0.001345118
"small nucleolar RNA, C/D box 101",2.105196883,0.000491822,0.001351624
BRISC and BRCA1 A complex member 1,-0.710406836,0.000492274,0.001352695
H3.3 histone B,0.896563546,0.000493051,0.001354659
KRI1 homolog,0.7969548,0.000493319,0.001355224
dermatan sulfate epimerase like,1.496995151,0.000493787,0.001356339
protein O-mannosyltransferase 1,0.666831428,0.000495153,0.001359918
interleukin 32,-1.150087392,0.00049616,0.001362512
RRAD and GEM like GTPase 1,-2.579531637,0.000497453,0.001365891
G protein-coupled receptor kinase 4,0.697845502,0.000498424,0.001368385
NA,0.750125385,0.00049865,0.001368833
midline 2,-1.168859988,0.00049886,0.001369236
sarcoglycan delta,-1.68577141,0.000499913,0.001371952
transmembrane protein 223,-0.8021759,0.000500054,0.001372167
MIR4435-2 host gene,-1.165430166,0.000500193,0.001372375
YY1 transcription factor pseudogene 2,-5.275855235,0.000501277,0.001375176
NADH:ubiquinone oxidoreductase subunit A1,-0.99184996,0.000501653,0.001376032
CEA cell adhesion molecule 19,0.908766037,0.000502033,0.001376901
solute carrier family 16 member 12,2.603447833,0.000502934,0.001379199
notch receptor 2,1.210237384,0.000504071,0.001382144
dual specificity tyrosine phosphorylation regulated kinase 4,-0.926978653,0.000504611,0.001383448
PDZ and LIM domain 5,-0.967313292,0.000505143,0.001384687
GRIP and coiled-coil domain containing 1,0.675826451,0.00050519,0.001384687
intracisternal A particle-promoted polypeptide,0.807515029,0.000506074,0.001386934
LON peptidase N-terminal domain and ring finger 1,0.657488046,0.000506399,0.00138765
adenosylmethionine decarboxylase 1,-0.840891945,0.000508657,0.001393662
kelch like family member 30,-3.824939995,0.000510196,0.001397703
transmembrane protein 70,-0.9083989,0.000510411,0.001398115
sarcoglycan epsilon,-0.841676676,0.000511156,0.00139998
flavin containing dimethylaniline monoxygenase 4,-1.752019963,0.000511261,0.001400091
"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",-1.145111352,0.000513837,0.001406967
DHRS4 antisense RNA 1,-1.047986022,0.000516553,0.001414228
epithelial cell adhesion molecule,1.383967521,0.000517462,0.001416539
CAP-Gly domain containing linker protein 3,-1.106049723,0.000517693,0.001416992
potassium inwardly rectifying channel subfamily J member 13,2.524864419,0.000517922,0.001417439
BRCA1 associated protein,0.536981832,0.000519081,0.001420432
protocadherin beta 3,1.47098,0.000519263,0.001420751
