	SRR1554535	SRR1554537	SRR1554539	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
148003	0	0	0	0	0	0	4	0
148014	1322	1519	1145	911	1887	1141	1203	888
148022	430	180	415	394	779	101	184	114
148046	46	113	44	70	184	123	117	120
148066	3	8	3	2	1	7	6	6
148103	58	481	47	99	40	534	620	446
148109	0	0	2	4	2	0	0	0
148113	23	30	19	24	55	34	16	14
148137	158	421	193	216	349	490	402	391
148145	3	2	3	4	4	10	14	8
148156	349	1794	302	498	197	2458	2398	2078
148170	12	11	11	17	24	40	44	25
148189	81	366	94	156	92	236	490	294
148198	25	17	29	50	14	22	52	34
1482	0	0	0	0	2	0	0	0
148203	339	3226	294	649	163	3498	4488	3731
148206	375	3542	506	704	277	3375	4563	2406
148213	168	1033	202	333	105	941	1176	1080
148223	681	757	447	714	915	767	616	443
148229	18	28	14	18	14	52	35	37
148231	0	0	0	0	0	0	0	0
148252	9148	6211	8850	7810	16967	6852	7022	5517
148254	227	1417	332	503	215	1598	2305	1506
148266	326	1075	360	423	199	1402	1536	1246
148268	95	700	171	201	137	619	743	696
148281	141	3484	162	214	88	2833	3414	2806
148304	75	55	90	89	80	72	99	45
148327	73	815	24	95	48	762	696	495
148345	3	1	4	2	5	2	3	1
148362	405	894	593	821	380	943	1105	843
148398	31	6	4	38	22	31	17	9
148413	471	829	344	738	522	1027	1118	731
148418	41	41	41	60	26	41	92	42
148423	1407	1499	1210	1727	1282	1486	2057	1189
148479	592	1438	523	976	857	1816	1817	1565
1485	1	0	0	0	0	0	0	0
148523	435	355	199	213	326	213	210	367
148534	1845	202	1654	1990	1041	156	463	158
148545	0	0	2	1	0	0	1	0
148581	0	0	0	0	0	0	0	0
1486	265	135	127	343	60	142	149	126
148641	577	75	613	662	648	54	106	30
148645	0	0	1	0	0	0	0	0
148696	13	0	22	25	37	3	4	3
1487	3260	5106	2751	3732	5198	5263	4729	4019
148709	33	22	19	32	31	45	31	27
148713	8	6	12	23	10	15	17	6
148738	10	2	8	5	13	2	1	1
148741	292	167	237	353	394	263	248	156
148753	116	2	200	183	366	8	58	18
148789	499	958	434	519	419	1650	1351	1356
1488	1215	6176	820	1422	957	7228	5923	6455
148808	4372	198	7013	5103	6294	184	360	109
148811	13	11	3	21	8	4	9	8
148823	5	16	3	0	4	3	3	2
148824	0	5	1	0	0	4	8	1
148867	358	1591	417	739	215	1120	1625	1309
148870	6	9	8	5	3	17	11	14
148898	235	391	124	253	170	237	502	247
1489	58	36	19	53	30	52	62	69
148930	76	5	80	83	105	1	15	1
148932	169	68	97	303	224	241	265	152
148979	70	17	54	51	196	10	7	3
1490	217	338	310	558	322	1271	570	560
149013	64	455	76	200	132	390	374	553
149018	0	0	0	0	0	0	0	0
149041	972	3007	973	1492	607	2207	3703	2248
149047	0	0	0	0	0	0	1	0
149069	49	97	48	59	67	119	126	109
149076	1022	4030	930	1316	1569	3607	4152	3679
149086	0	0	0	0	0	0	0	0
149095	4	18	3	12	2	17	24	13
1491	174	233	179	170	138	194	329	247
149111	857	642	829	951	1132	1968	2395	1511
149134	35	62	38	74	64	81	64	99
149175	801	2344	804	1027	1204	1397	2446	1323
149233	0	0	0	0	0	1	1	0
149281	0	3	1	0	0	4	19	4
149297	80	240	169	103	282	172	348	81
1493	2	0	6	5	1	0	2	1
149345	2518	601	1868	3897	3262	269	694	283
149371	763	1539	783	1016	682	1240	1721	1173
149373	0	5	0	1	0	1	2	0
149420	633	3758	547	697	312	3481	5448	3064
149428	19	28	15	30	17	37	22	33
149461	1	4	0	1	0	229	8	5
149465	17	23	50	24	39	32	18	16
149466	2	0	0	4	2	0	0	0
149469	17	145	26	67	85	73	94	93
149473	449	537	336	465	612	376	386	287
149478	35	62	69	81	100	74	49	64
149483	21	29	3	68	27	39	56	48
149499	10	36	7	12	8	31	24	18
1495	4762	6248	3417	10139	3523	11244	8969	7659
149563	63	51	78	132	162	42	34	30
1496	5810	6315	5896	7162	6228	9219	5790	5923
149603	9108	5901	6937	8526	11317	6636	8230	4393
149620	0	0	0	0	0	0	0	0
149628	1	0	10	4	4	2	0	0
149643	1	2	2	2	2	3	1	9
149647	0	0	0	0	0	0	0	0
149650	1	1	7	8	10	1	1	1
149685	0	0	2	0	0	0	1	0
149699	0	0	0	0	0	0	1	0
1497	338	833	206	698	371	922	687	698
149708	0	0	0	0	0	0	0	0
149773	1	3	2	1	0	12	8	5
149775	2	9	1	2	2	9	17	5
149830	0	0	0	0	0	0	0	0
149837	51	459	183	150	92	427	552	781
149840	100	136	90	144	96	172	174	66
1499	6832	11253	6985	10150	7165	20342	14361	12832
149934	1	0	1	1	2	0	0	1
149950	0	0	0	0	1	0	4	2
149951	1121	2072	1186	1478	1236	1702	2155	1157
149954	0	0	0	0	0	1	0	0
149986	2419	5521	2126	3006	3017	6492	6905	5495
149992	8	8	0	1	1	1	0	1
149998	9	36	11	14	2	41	66	60
15	10	4	7	10	8	7	2	4
150	367	7947	474	470	621	3179	9036	2427
1500	3444	12701	3667	5535	4072	14745	15810	15385
150000	1	0	4	1	0	3	0	5
150051	0	22	2	7	3	14	11	14
150082	83	78	51	35	18	75	71	154
150084	15	5	11	16	20	28	38	20
150094	256	1859	590	1225	1324	2329	1232	2114
1501	11244	16421	11411	12103	17034	19100	16520	19657
150135	0	0	0	0	0	0	0	0
150142	4	1	0	0	7	1	2	0
150147	75	2	79	122	117	1	1	0
150159	45	87	18	56	28	57	88	52
150160	1	0	0	0	0	0	1	0
150165	0	0	0	0	0	0	0	0
150185	0	0	0	0	0	0	0	0
150197	0	2	3	1	5	3	1	1
150209	2401	31	1156	2274	2770	307	84	31
150221	2	2	0	5	0	2	5	1
150223	359	479	326	333	563	406	402	344
150244	620	1833	299	392	765	1751	1884	1733
150248	5	6	3	8	10	34	10	6
150274	209	248	127	217	127	242	238	171
150275	524	1770	648	965	483	1380	1626	1262
150280	6	4	2	7	1	6	12	9
150290	102	1272	114	217	181	684	862	788
150291	184	486	132	218	155	768	658	530
150297	1	0	0	3	0	0	3	0
1503	621	1998	653	817	758	2755	1932	1808
150350	0	1	0	0	0	0	1	0
150353	41	147	36	91	51	142	295	135
150356	813	55	318	1188	378	74	121	49
150365	25	13	37	30	29	9	10	5
150368	29	148	22	50	48	285	254	139
150372	21	136	11	60	28	77	76	59
150379	86	4	97	91	211	1	12	6
150381	44	12	29	65	32	37	54	31
150383	152	425	85	257	130	314	337	274
150384	15	15	10	29	13	24	25	3
1504	0	1	1	0	0	0	2	0
150465	2469	5136	3082	3680	2246	5871	5613	5087
150468	6	746	6	9	2	1446	647	1154
150472	456	922	376	369	316	1035	1122	937
150483	1	0	1	1	0	4	0	0
150527	0	0	1	0	0	0	0	0
150538	155	1584	205	134	205	29	1091	91
150568	229	3946	333	549	161	598	6171	1792
150572	127	0	100	95	102	0	1	0
150577	0	62	1	1	0	99	13	77
150590	65	66	89	99	58	60	65	41
150596	0	0	1	4	0	0	0	1
1506	73	346	45	100	106	252	360	214
150622	1249	1847	1216	3899	840	244	1438	464
150677	12	5	8	12	7	4	4	5
150678	1355	894	1001	1704	991	729	631	427
150681	65	0	0	3	0	0	0	0
150684	342	421	293	511	329	533	477	366
150696	108	403	89	166	173	387	441	328
150709	53	262	63	115	56	206	327	226
150726	6613	4672	8493	7106	14212	2718	4733	2053
150737	109	155	72	132	52	228	244	141
150759	965	3420	727	1228	590	3424	5832	4009
150763	135	142	137	187	190	82	68	31
150771	14	245	14	29	51	300	130	200
150776	986	2453	537	1071	1147	1460	2130	2271
150786	88	31	134	92	62	50	118	32
1508	10362	4493	10289	12851	13538	3792	4662	2619
150864	659	7849	814	884	826	6107	8267	7862
1509	9246	2518	6635	10241	12379	2836	2436	1764
150921	0	0	0	0	0	0	0	0
150946	1171	1835	384	1331	927	4073	2711	3127
150962	150	261	140	206	80	215	285	191
150967	332	441	461	388	570	457	749	422
150992	0	0	1	1	0	0	0	0
151	30	1	11	59	17	6	4	5
1510	0	0	0	1	0	2	2	1
151009	329	191	284	700	261	14	367	39
151011	655	1164	293	1702	156	2181	1457	1493
151050	756	2520	707	1132	452	2788	3123	3029
151056	57	28	70	102	79	32	52	25
1511	0	2	1	1	0	2	0	1
151112	4	11	5	5	1	14	10	4
151121	0	0	0	1	0	3	3	1
151126	1223	1072	1321	1051	1185	55	410	69
151162	2390	3560	2871	4111	2812	3455	6900	2776
151171	0	0	2	2	1	5	5	2
151174	81	173	73	179	85	145	171	87
151176	61	51	96	92	144	62	44	53
151188	393	1126	119	476	160	1598	1263	1332
151194	283	270	301	407	356	332	434	333
151195	711	937	685	932	483	1303	1490	1186
1512	1406	75	411	895	753	110	129	45
151230	376	3394	595	439	455	3079	2772	2775
151234	0	0	1	0	0	3	1	0
151242	11	11	9	13	7	2	7	8
151246	77	565	83	98	30	1458	664	870
151254	17	15	26	37	10	25	31	23
151258	176	36	201	131	157	64	122	43
151278	0	0	0	0	0	0	0	0
151295	13	26	2	17	20	31	26	29
1513	89	152	94	124	102	211	272	164
151300	0	0	0	0	0	0	0	0
151306	2	6	1	0	2	12	4	6
151313	698	467	542	763	580	552	382	339
151325	0	0	0	0	0	0	0	0
151354	2166	1290	3684	2005	6307	174	1263	140
151393	165	75	225	169	68	88	163	65
1514	1466	578	1141	1812	1418	1019	1065	564
151449	2	0	24	6	30	1	0	0
151473	1000	3544	1403	877	1025	1826	3722	2058
151477	27	38	22	28	28	58	87	71
1515	21	35	14	134	11	122	88	62
151507	51	220	75	75	51	231	252	205
151516	80	218	51	153	73	277	179	119
151525	398	570	271	409	272	313	775	434
151531	97	90	101	66	103	62	61	42
151534	6	6	1	7	7	2	7	8
151556	2236	724	3041	2607	1937	647	1106	651
151613	2035	5176	2201	3368	1291	3693	5539	4932
151636	188	180	168	284	102	258	314	192
151647	137	7	77	175	67	1	5	0
151648	5	247	7	14	5	598	211	427
151649	5	41	6	17	7	33	43	37
151651	25	6	17	52	7	19	290	73
151658	1	0	3	1	0	0	0	0
1517	0	7	4	1	3	0	6	2
151742	156	2999	1135	460	968	1365	1249	2189
151760	7	5	24	21	24	10	18	5
151790	32	59	9	31	9	84	27	43
1518	1	0	0	0	4	0	4	0
151827	251	204	151	177	100	222	400	187
151835	1008	17	913	891	1478	2	60	10
151871	0	0	0	0	0	0	2	0
151877	0	1	1	3	0	1	1	0
151887	181	108	135	293	92	350	258	165
151888	6	1	5	5	8	7	5	5
1519	531	152	363	725	297	356	387	187
151903	656	1259	505	871	925	1572	1446	939
151963	296	1883	370	407	385	743	2694	724
151987	454	1816	793	1143	646	2025	1843	1397
152	106	221	166	151	347	159	113	234
1520	122	51	90	146	48	86	64	41
152002	253	1454	286	448	364	1221	1526	1050
152006	2184	7708	2530	2700	1993	6294	8604	8460
152007	371	258	208	986	170	512	355	177
152015	34	43	18	26	19	24	58	31
152024	0	1	0	0	0	0	0	1
152065	0	0	0	0	0	2	0	1
152078	18	28	23	8	8	8	50	9
152098	37	20	29	40	28	21	31	20
1521	5	7	14	15	16	9	18	6
152100	246	163	195	291	143	219	215	175
152110	50	69	139	69	76	43	68	27
152118	2	0	0	1	0	2	2	0
152137	1361	8974	1326	2244	905	8700	11264	8213
152138	0	0	0	0	0	0	0	0
152185	156	490	222	279	142	1089	562	847
152189	64	15	54	66	80	12	27	12
152195	17	12	22	19	19	13	14	7
1522	915	255	775	1103	1146	639	594	429
152206	167	86	163	247	158	119	110	119
152217	501	532	492	586	660	515	653	354
152225	0	0	0	0	0	0	0	0
152273	227	224	276	359	220	378	461	198
1523	1310	3475	1640	1924	2550	5057	3965	3100
152302	470	279	393	594	442	391	363	265
152330	1061	1990	1517	987	1214	262	4056	472
1524	282	491	85	550	52	428	449	432
152404	1000	463	762	2157	670	517	1028	530
152405	0	1	0	0	0	0	3	0
152485	205	803	499	517	822	1388	1446	1945
1525	208	4212	484	715	217	2052	4045	2717
152503	842	376	811	1742	495	578	983	460
152518	271	904	288	356	208	1019	1090	854
152519	7	10	27	10	14	5	38	7
152559	1528	2335	1373	1626	1066	2169	2837	2331
152573	11	0	11	30	10	17	7	4
152579	604	683	569	704	676	763	789	753
152641	7	4	6	4	8	10	2	9
152687	160	740	146	252	69	727	848	692
1527	0	0	0	0	0	0	0	0
152742	11	0	9	18	2	12	9	17
152756	98	333	99	168	58	307	450	324
152789	3023	2402	3039	2586	3742	1376	2083	1023
1528	394	387	256	606	266	453	556	404
152815	234	499	148	316	135	579	551	486
152816	4	4	8	9	1	1	4	7
152831	27	39	38	36	12	64	90	48
152877	30	24	30	53	34	21	38	25
152926	1948	3170	2464	2989	2032	3042	4983	3270
152940	7	3	9	6	9	15	11	12
152992	175	773	233	384	295	715	628	524
153	590	234	539	498	816	20	34	21
153020	283	1077	288	322	263	2921	1742	2619
153090	3011	5726	3540	3695	5884	6273	6576	4840
153129	371	756	256	555	240	467	932	674
153201	0	0	0	0	0	0	0	0
153218	4	29	2	3	2	11	39	16
153222	1395	1688	1494	1998	825	1261	1860	1445
153241	595	1289	615	733	357	2109	2393	2130
153328	133	28	66	227	139	3	7	0
153339	3752	5659	3586	4449	2467	6536	8326	4957
153364	673	795	640	867	380	337	1063	349
153396	454	1089	403	561	199	1076	1355	1142
1534	1384	663	1628	1593	2392	634	1061	417
153443	163	594	154	236	122	663	554	464
153478	35	1107	36	10	48	1717	1097	1542
1535	79	129	65	151	85	175	192	91
153527	3647	4354	3379	4089	3358	5365	5898	4104
153562	21	13	25	34	13	27	32	15
153571	4	0	0	1	1	3	2	1
153572	4	2	0	2	0	23	15	14
153579	607	134	303	490	335	474	283	315
1536	143	161	130	215	51	326	204	192
153642	196	510	194	272	171	533	606	583
153643	8	5	6	15	12	73	3	9
153657	33	82	30	65	39	131	103	121
153684	12	9	11	32	9	4	9	5
1537	1579	1145	1257	1477	2183	1130	1140	702
153733	512	3147	343	704	205	4501	4754	3410
153743	13	27	31	29	8	28	31	24
153745	0	0	0	0	0	0	1	0
153768	29	40	37	26	36	75	44	51
153769	58	7	59	32	143	7	7	4
153770	24	32	18	30	14	46	41	25
1538	0	0	0	0	0	0	0	0
153830	2074	6015	2938	2730	2057	5948	7679	5435
1539	0	0	0	0	0	0	0	0
153910	2	0	12	5	1	0	2	0
153918	1	8	2	2	1	17	6	12
154	31	24	13	40	30	21	23	29
1540	2601	2167	3878	4045	2907	1891	2849	1866
154007	383	930	330	668	317	1185	1270	1091
154043	341	411	176	936	247	1071	774	1037
154064	0	0	0	1	1	2	0	6
154075	21	100	20	18	9	14	56	8
154089	0	0	0	0	0	0	0	0
154091	608	287	446	783	334	564	428	366
154092	34	0	7	44	31	0	0	0
154141	60	101	23	222	23	236	220	153
154150	0	2	1	3	5	1	2	0
154197	60	28	160	93	138	8	17	6
154214	60	134	73	189	53	80	157	113
154215	1972	10012	1834	3714	1002	875	12709	972
154288	8	11	7	7	6	24	26	14
1543	118	39	72	78	41	10	45	8
154313	67	45	81	49	51	54	56	24
154386	5	23	9	4	6	19	28	13
1544	0	0	0	0	0	2	1	1
154442	33	4	16	46	7	7	31	4
154449	4	0	1	12	4	0	0	0
154467	177	685	145	277	175	687	828	495
1545	216	144	496	534	476	403	2201	361
154661	1051	1632	1007	1083	730	1188	4122	1535
154664	0	1	0	0	0	7	9	10
154743	585	2503	619	699	347	1614	2193	1768
154754	0	0	0	0	0	0	0	0
154761	1	7	4	5	6	13	6	14
154790	1148	21	827	836	1272	118	207	59
154791	307	235	164	402	230	307	243	205
154796	2025	1422	1421	2587	1985	2249	2228	2129
1548	21	10	21	41	23	6	17	8
154807	324	697	578	489	597	491	679	461
154810	764	4991	1383	1178	1080	6439	5693	6119
154822	8	6	7	10	12	8	21	14
154860	8	0	1	4	15	20	15	1
154865	7	28	15	20	7	35	34	26
154872	1	1	0	2	0	0	1	1
154881	1421	6147	1035	2691	1313	5042	7149	4913
1549	10	5	5	4	10	0	2	0
154907	1	0	0	0	0	0	0	0
155	1	1	12	8	13	0	0	0
155006	2	39	3	9	7	26	128	60
155038	106	96	92	265	67	146	102	62
155051	14	5	9	29	37	4	10	6
155054	260	445	216	296	258	553	581	294
155061	845	1900	701	957	1361	1541	1723	1327
155066	9849	6445	8134	12134	11521	5761	5996	3612
1551	10	26	25	7	13	15	27	20
155184	0	0	0	1	0	0	1	2
155185	161	130	188	260	304	166	170	87
1553	0	0	1	2	0	0	0	0
155368	8	60	11	26	59	17	6	7
155370	862	1016	681	1120	666	967	1336	780
155382	224	918	141	274	399	913	1173	776
155400	550	2075	362	595	767	1920	1390	1416
155435	2033	8225	2355	4122	2878	7389	9245	9173
155465	0	0	0	1	0	0	0	0
1555	0	0	0	0	0	0	0	0
1556	61	18	59	92	83	6	13	9
1557	2	0	2	2	2	1	0	1
1558	110	48	126	70	96	158	107	83
1559	0	1	0	0	1	2	0	1
156	5744	5794	5652	5793	9613	7138	6161	4890
1562	2	1	3	6	17	0	4	0
1564	128	245	71	150	109	223	198	171
1565	85	379	61	103	125	280	207	223
157	2814	2977	4147	2825	3363	4065	7443	4330
1571	293	411	228	296	363	240	533	187
1572	1	1	1	1	0	1	2	0
157247	509	1070	378	717	357	1236	1537	1241
157285	658	2364	1348	841	2016	1841	1566	1664
1573	408	21	153	1107	219	90	31	43
157310	85	1	43	89	42	7	5	0
157313	1	306	1	8	1	887	261	426
157378	1683	2535	1768	1696	1210	1669	4162	1886
157381	0	4	3	10	1	6	11	7
157506	156	82	123	198	65	219	178	108
157556	13	8	6	19	14	11	6	8
157567	3187	4697	3014	3102	1948	3067	5911	2760
157570	5	358	3	13	2	632	372	448
157574	237	210	248	202	317	230	324	270
1576	6	37	8	16	20	12	30	19
157627	3935	19589	4111	3974	5001	18636	24569	22020
157638	458	3739	278	928	280	3085	2013	4048
157657	131	183	112	193	76	217	236	254
157680	966	2507	1338	1710	1108	1712	2870	2144
157693	2	2	1	2	10	0	1	1
157695	313	1020	289	435	326	1104	1484	1076
157697	393	905	341	581	429	734	1213	956
1577	26	49	35	45	28	43	76	67
157724	0	0	0	0	0	0	0	0
157739	23	14	27	23	20	25	19	20
157753	94	1130	172	133	228	461	626	517
157769	1362	1817	1355	1883	940	1630	2373	1660
157773	37	88	21	27	16	109	218	55
157777	73	268	62	128	43	245	441	275
157807	339	2415	577	389	627	1508	1897	1891
157848	12	10	2	5	16	6	10	3
157855	2	1	0	0	0	0	4	1
157869	73	181	98	112	38	147	273	184
1579	16	21	8	11	16	23	26	16
157922	2401	13361	3286	3547	4309	11928	14755	13125
157927	6	0	1	2	5	0	0	0
157983	2	0	1	2	1	1	2	1
158	554	991	474	650	418	1249	1151	729
1580	3	0	0	3	1	0	1	0
158035	4	18	6	27	10	16	24	14
158038	163	593	355	180	334	162	265	309
158046	22	22	14	24	11	7	84	9
158055	27	56	19	36	33	40	37	48
158056	226	1321	202	351	507	1491	1377	1027
158062	1	0	1	3	5	0	1	0
158067	78	36	56	72	36	30	42	25
1581	0	2	2	5	2	0	3	1
158131	1	0	0	1	0	0	0	0
158135	351	573	585	927	789	557	473	556
158158	2	10	9	7	3	13	13	13
158160	132	309	72	1419	53	403	333	286
1582	3	3	4	3	1	2	5	0
158219	69	99	226	156	160	72	118	158
158228	148	28	89	247	94	77	32	25
158234	387	1515	345	593	351	1298	1662	1349
158248	19	0	6	28	23	4	3	1
158293	1056	731	857	1140	934	1081	1441	910
158295	0	0	0	0	0	0	0	0
158297	0	0	0	0	0	0	0	0
1583	46	1	19	47	16	17	4	8
158314	0	1	0	0	0	1	0	2
158326	121	104	234	180	123	343	335	210
158358	1424	4122	1817	2387	1253	3552	5227	4343
158376	34	21	30	30	30	18	17	11
158381	1	5	3	8	1	3	5	0
158399	100	192	399	340	241	114	251	97
1584	0	0	1	0	1	0	0	0
158401	9	38	4	15	9	21	46	22
158405	62	262	76	261	102	288	298	320
158427	314	2557	446	590	443	1909	2201	1952
158431	109	580	189	153	128	424	564	512
158435	27	11	26	21	15	17	12	25
158471	6011	837	8235	10794	6314	1497	2222	1119
1585	0	0	0	1	0	0	0	0
158506	0	1	0	0	0	0	0	0
158511	7	0	5	10	2	1	2	3
158521	0	2	0	0	0	0	2	1
158572	60	48	53	67	66	62	63	56
158584	34	61	21	39	33	65	102	41
158586	521	1552	579	663	502	1013	1700	1181
1586	18	10	19	26	12	6	12	4
158696	550	364	451	403	361	358	848	301
1587	0	0	0	0	0	0	0	0
158724	1	2	1	0	0	0	0	0
158747	691	682	547	2376	335	927	726	752
158763	41	1	63	52	79	11	5	9
158787	28	55	17	45	10	68	81	69
158798	5	8	3	3	5	69	14	23
1588	2	0	0	2	0	6	0	0
158800	22	13	22	18	29	5	0	0
158801	28	16	38	50	46	26	32	17
158809	0	0	0	0	0	0	0	0
158830	0	0	0	1	0	1	2	3
158833	1	0	0	0	0	3	1	0
158835	0	0	0	0	0	1	0	0
158866	195	880	243	280	199	1114	1051	1008
158880	172	350	140	218	121	297	456	268
1589	0	0	0	0	0	1	0	0
158931	1802	395	1542	1877	2308	139	817	96
158983	0	2	0	0	0	3	6	3
159	2317	2809	2000	3192	1323	3169	3303	2394
159013	266	756	229	469	187	878	1031	758
159090	1727	1553	1646	2016	1530	1944	1593	1698
159091	76	137	68	136	114	220	192	215
1591	7	4	35	27	54	10	5	7
159119	1	0	0	0	1	0	0	0
159125	0	0	0	0	0	0	0	0
159162	0	0	0	0	0	0	0	0
159163	0	0	0	0	0	0	0	0
159195	3206	2049	2141	9598	2193	2494	2333	2326
1592	103	713	91	121	65	950	1351	1452
159296	0	0	0	1	0	1	3	0
1593	981	87	359	2292	472	322	262	136
159371	12	79	18	13	8	84	69	110
1594	7	54	11	19	16	62	63	37
1595	3892	4928	2985	5854	2382	5476	7339	4858
159686	20	55	36	27	22	108	59	67
159963	17	2	6	10	4	0	5	0
159989	2	4	3	2	0	17	8	6
16	9594	5994	10094	12162	15289	6321	6340	5130
160	6534	6245	6084	6857	11073	7744	5720	5645
1600	74	5012	313	184	396	4324	4666	5514
160065	0	0	0	0	0	0	2	0
1601	189	370	242	381	183	581	581	419
160140	10	8	8	22	5	7	9	9
1602	496	913	497	618	305	3032	723	2033
160287	17	157	29	23	16	65	185	110
160298	4	144	36	37	40	44	96	81
1603	1544	1126	811	1679	855	864	1041	911
160335	1135	1799	767	5176	602	2006	3040	2293
160364	0	0	2	0	0	0	1	0
160365	0	1	0	1	0	1	0	1
1604	639	94	456	1136	349	120	117	94
160418	707	982	895	1012	466	1005	1248	904
160419	1	3	3	0	3	2	3	1
160428	230	1366	490	389	322	766	1370	954
160492	2	0	1	1	4	2	3	0
1605	2269	4776	1621	3487	2457	4108	5231	3963
160518	2048	7594	3327	2384	2508	5424	6592	6554
1606	643	232	768	680	813	167	461	120
160622	1255	99	1420	1452	2921	188	161	126
1607	2003	227	4556	2333	2962	78	373	86
160728	30	18	10	33	11	278	190	131
160760	804	907	1254	927	1019	655	960	724
160762	1	0	0	0	0	0	0	0
160777	1	0	1	5	3	18	1	0
1608	1177	41	868	990	1012	113	143	48
160851	53	126	111	58	66	94	98	69
160857	63	24	60	83	15	38	124	21
160897	509	580	569	1109	363	695	640	606
1609	1632	1461	1493	1757	2888	2014	1466	1397
161	4615	7052	5040	5633	7920	7154	6464	5132
1610	8	28	7	10	5	30	56	23
161003	0	5	0	0	3	27	8	2
1611	968	2771	681	1055	861	7870	3767	4347
161142	2	15	5	5	3	20	15	8
161145	910	1600	1003	1004	1441	1633	2265	1506
161176	53	28	68	318	108	37	40	23
161198	200	119	228	406	307	204	158	70
1612	2018	4721	2840	2264	4673	6195	6511	4693
161247	9	24	4	12	7	14	19	25
161253	63	76	58	59	84	162	212	172
161291	28	0	26	22	7	1	4	3
1613	1725	2218	1514	2054	2879	2140	2464	1778
161357	175	986	400	259	314	359	671	427
161394	54	87	109	70	75	142	179	121
161424	257	1084	400	571	695	1310	1039	1039
161436	375	1090	538	503	417	545	998	755
161497	97	48	79	68	99	41	65	28
1615	1899	1798	1068	2100	892	3301	2807	2122
161502	10	6	13	6	8	16	6	0
161514	4	0	1	3	6	0	0	1
161582	57	189	104	95	54	279	390	160
1616	4	5	0	2	3	5	5	8
161635	0	20	2	2	0	11	14	27
1617	0	0	0	0	0	0	0	0
161725	374	187	539	845	921	184	203	223
161742	3460	2606	2947	5017	2380	2992	4009	2750
161753	2	1	8	2	5	4	6	5
161779	99	188	210	155	176	168	196	185
1618	0	2	1	5	0	2	2	4
161823	265	465	313	302	275	704	564	489
161829	10	2	10	20	5	0	7	1
161835	62	103	50	53	44	175	138	86
161882	236	288	163	145	363	198	209	204
161931	24	2	45	15	35	7	4	7
162	4397	3647	3639	4774	6429	5538	4064	3775
1620	2963	3281	3908	2939	4479	2051	1975	1446
162073	232	182	180	303	223	246	326	139
162083	0	2	0	0	0	2	2	3
1621	76	74	94	86	162	87	108	67
162137	0	0	0	0	0	0	0	0
1622	2355	1640	1186	3195	948	2049	2354	1735
162239	937	2344	960	1110	557	2340	2872	2345
162282	7	81	12	45	8	85	93	96
162333	39	19	37	33	37	23	34	15
162387	0	6	1	1	0	15	6	10
162394	60	165	147	114	117	116	187	115
162417	28	30	22	30	49	27	18	19
162427	1200	2861	1146	1812	1663	2319	2985	2138
162461	1	3	0	2	3	6	3	3
162466	166	31	158	121	194	78	17	62
162494	1261	458	757	1013	1489	2251	1310	1473
162514	108	21	135	408	214	44	33	25
162515	52	11	48	53	82	5	12	12
162517	0	0	3	4	5	0	1	0
162540	2	8	10	2	14	2	8	1
162605	0	0	0	0	1	0	0	0
162632	353	2322	1001	802	1670	88	4003	182
162655	223	1067	378	372	286	823	1036	1133
162681	145	818	72	403	37	928	1093	893
162699	0	0	1	0	0	0	0	0
1627	3959	29054	3164	3637	6113	30847	26099	23493
1628	1232	456	653	838	1773	212	184	221
1629	1058	1465	1171	1363	926	1307	1727	1402
162962	110	1192	162	171	152	776	1251	1153
162963	177	660	126	272	131	652	673	675
162966	49	47	29	85	16	33	44	35
162967	393	2509	444	668	334	3922	3974	2853
162968	172	580	147	257	399	508	432	424
162972	78	666	131	156	153	563	650	563
162979	26	122	12	30	44	197	75	157
162989	873	767	688	963	1540	615	836	541
162993	135	511	196	256	93	448	438	428
162998	5	6	5	1	2	126	13	4
163	11268	25500	15026	16177	14762	21702	32124	21544
1630	392	4769	869	499	529	7880	6138	7313
163033	416	741	264	332	749	700	643	655
163049	275	1169	465	528	267	1021	1329	1117
163050	232	547	169	330	121	716	715	527
163051	168	1161	156	189	80	1112	1570	1046
163059	84	380	91	99	28	548	529	422
163071	13	45	15	28	13	181	358	116
163081	222	562	213	269	152	710	714	576
163087	137	402	147	182	114	489	434	404
163115	207	775	191	211	103	786	915	734
163126	1176	830	915	1137	780	966	1487	769
163131	899	3388	1038	1367	682	2973	3318	3235
163154	85	59	41	86	96	136	78	45
163175	2541	945	1159	2750	2228	157	758	135
163183	33	22	20	33	28	19	24	13
1632	488	357	272	559	526	794	463	370
163223	4	3	14	47	9	0	2	2
163227	251	827	172	389	70	1135	1243	1177
163255	927	1000	1057	1094	572	755	1370	729
163259	43	113	42	78	38	333	198	222
1633	1435	2119	1084	1424	804	1957	2837	1977
163351	5	11	5	4	2	8	19	5
1634	1068	775	1037	1009	556	1167	1593	1069
163404	734	4368	862	706	441	1492	4493	2679
163479	4	2	0	19	1	0	2	0
163486	68	178	74	68	62	151	149	160
1635	1566	908	1207	1391	1383	879	1285	740
163589	44	9	54	85	47	94	43	21
163590	549	1399	665	869	499	1532	1513	1285
1636	297	269	227	258	310	203	350	124
163688	22	11	24	23	19	23	9	3
163702	25	5	25	30	49	6	15	9
163720	1	1	1	2	0	2	0	1
163732	166	15	139	92	234	14	32	22
163742	0	1	0	0	1	0	0	0
163747	4	3	6	4	5	5	4	3
163778	0	0	0	0	0	0	0	0
